,Player,Position,Yahoo Position,Team,Owner,GP,Season Average,Weighted Season Average,Last 10 Games Average,Last 20 Games Average,Last 35 Games Average,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82
1,Connor McDavid,C,C,EDM,Yellow Snow,36,46.42,46.36,46.84,43.8,44.36,37.0,31.0,24.5,27.3,62.4,36.0,81.0,19.9,64.0,85.3,30.5,85.8,41.6,58.5,67.5,22.1,7.7,27.9,55.1,10.9,26.4,42.9,62.7,50.7,31.1,49.6,95.9,51.9,93.0,24.0,7.0,3.0,73.4,28.6,36.4,118.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Tage Thompson,C,C,BUF,Yellow Snow,33,41.88,42.04,55.89,47.57,41.88,5.0,36.7,70.9,46.4,76.4,25.6,19.5,152.4,55.2,70.8,22.1,44.0,12.1,10.0,89.2,24.9,37.2,49.0,40.0,64.0,30.0,20.5,8.5,41.0,132.4,79.4,19.0,13.0,19.9,21.9,32.2,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,David Pastrnak,RW,RW,BOS,Bruhgeron,35,41.14,41.07,37.39,40.2,41.14,21.7,20.2,57.0,49.6,39.0,56.5,24.9,34.9,25.6,44.5,33.5,40.1,70.1,11.9,57.7,39.2,38.5,66.5,19.4,53.2,19.5,58.2,24.9,9.1,37.2,34.7,62.8,65.0,50.9,51.3,24.2,67.1,43.0,10.5,77.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Nathan MacKinnon,C,C,COL,Bruhgeron,23,40.96,40.93,35.2,39.01,40.96,17.1,13.4,115.8,13.5,46.5,32.4,23.0,48.9,15.9,25.5,48.1,54.4,54.2,77.4,38.0,22.7,32.1,51.9,19.8,29.6,71.7,44.5,45.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Leon Draisaitl,C,"C,LW",EDM,Alex's Team,36,38.93,38.87,35.57,36.04,38.13,37.1,28.4,25.5,8.2,37.0,20.9,103.4,0.5,50.7,44.0,3.7,74.9,43.0,72.5,37.4,36.2,11.5,34.2,43.7,7.9,35.5,30.0,37.5,59.2,39.5,32.0,83.9,22.6,57.8,21.5,66.4,8.5,57.5,23.0,38.9,67.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Mikko Rantanen,RW,"C,RW",COL,Matteo's Bold Team,33,38.62,38.63,44.2,34.86,38.62,32.9,76.7,64.5,37.6,34.0,46.8,26.2,81.0,29.9,12.4,32.7,4.0,44.4,3.5,23.4,56.2,25.9,14.7,0.5,49.8,74.3,87.8,30.4,101.5,42.4,13.7,20.1,15.7,12.7,62.1,30.0,21.6,65.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Auston Matthews,C,C,TOR,StodgyBeans,35,38.02,38.06,40.01,40.4,38.02,31.5,26.0,42.7,48.4,15.9,26.5,78.2,47.0,48.7,35.2,31.7,63.5,73.2,22.9,11.0,33.5,32.0,53.7,46.0,40.4,5.7,32.1,17.2,68.2,66.0,37.4,16.2,46.7,16.9,57.2,31.9,10.0,50.1,48.0,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Alex Ovechkin,LW,LW,WSH,Alex's Team,38,37.58,37.67,43.83,43.71,38.51,41.4,11.1,80.1,43.4,21.7,18.2,33.9,94.5,28.5,65.5,73.4,25.9,16.1,38.9,58.0,25.6,59.5,52.3,10.4,75.9,14.3,23.5,21.5,13.9,51.3,39.2,32.7,26.7,34.5,41.1,20.7,40.4,16.7,10.6,86.6,39.8,16.8,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Rasmus Dahlin,D,D,BUF,Andrew's Team,32,37.57,37.47,31.84,32.73,37.57,17.2,24.9,53.1,52.4,34.3,10.7,11.5,56.8,35.5,22.0,40.8,30.2,15.9,24.9,72.6,28.6,25.8,35.7,17.7,43.9,20.9,62.0,57.3,54.9,45.8,11.7,29.1,65.0,56.5,48.7,52.5,43.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Jason Robertson,LW,LW,DAL,Yellow Snow,36,37.18,37.16,24.4,35.39,37.35,16.9,46.0,27.2,38.5,52.5,5.0,21.0,0.0,22.4,14.5,12.2,51.5,92.0,30.5,27.1,72.4,60.0,61.5,32.5,24.0,44.8,54.9,40.2,30.5,83.5,53.5,69.8,45.0,28.5,-4.0,12.2,46.4,8.0,24.1,62.2,31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
